time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-02-08 09:30:00-05:00,BTMMStrategy,4d7d94a646504f8eab8bab12c36966ca,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,eb4ec201351146be891cf76ff0360bca,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,5f12c92b72e74263ba8aa66a259d8786,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,5f12c92b72e74263ba8aa66a259d8786,AAPL,buy,market,fill,1,gtc,0.0,1,stock,189.38999938964844,227191633.0,0.0
2024-02-27 09:30:00-05:00,BTMMStrategy,34239761245c455297f2e5a1689bd0ce,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-27 09:30:00-05:00,BTMMStrategy,7cae0206e91747b1980460fcb2b066ac,AAPL,sell,stop,fill,1,day,0.0,1,stock,179.920499420166,227191633.0,0.0
2024-02-28 09:30:00-05:00,BTMMStrategy,345b724d8b424876b933c881f66be03a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-29 09:30:00-05:00,BTMMStrategy,3d5f5781b7ac4ac48c0395c920edf6d2,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-01 09:30:00-05:00,BTMMStrategy,ea577fa2536d4900817bb3073ce391fb,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 09:30:00-05:00,BTMMStrategy,194de003446b42aaa89585e16a608462,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,adce7fb7a8124347b45910c6f13993f1,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,5a4aec750d964039b81030894195f2ca,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,029c2a06b1224ac29ee65396cf7071c7,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,bd67eb9da5094c6091ee6fbe20d8fae7,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,218305af9a614a299a02c6399921cecc,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,de0a31c665bf4599b62c212f7882e0d4,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,096678bdba474a3e92c881dc7f494df6,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,be7cc32e3ac74f1faeeb5eb204afe7f8,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,342b1167583a4778954856562d648068,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,dc52700e1fa44ba9947900c8f6b3bd08,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,09a7a07a5cdd440896e2e9c02d719cea,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
